Country,Region,Population,Area,PopDensity,Coastline,Net migration,Infant_mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service,FIFA_Rank,UEFA_Rank,Attendance,Home_Away_Contrast
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,0.09,0.26,98.8,900,68,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.269,0.487,0.244,62,,,0.836695882
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,112.9,0.37,-1.67,35.93,4100,70.6,92.1,12.54,5.03,82.43,2,29.88,5.2,0.227,0.188,0.585,95,,,0.641629013
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,2.85,0,35.6,3200,87.9,52,11.32,7.23,81.45,2,20.34,6.25,0.134,0.458,0.408,178,,9368,0.586193143
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,0.23,-0.64,51.43,2200,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387,41,,,0.558026725
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,61,0,-1.72,71.1,1700,99.3,62.9,10.83,0.83,88.34,1,26.36,7.84,0.342,0.229,0.43,74,,6911,0.486008367
Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580,8.2,0,-1.32,53.11,2400,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52,72,,6148,0.469158307
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,22,0.19,-1.05,31.94,5100,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65,42,,5178,0.452637413
Papua New Guinea ,OCEANIA                            ,5670544,462840,12.3,1.11,0,51.45,2200,64.6,10.9,0.46,1.44,98.1,2,29.36,7.25,0.353,0.381,0.266,55,,,0.438095238
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,62.2,0.7,-0.57,24.77,6900,74.2,123.6,17.86,13.74,68.4,3,15.52,5.13,0.132,0.318,0.55,47,,,0.430597219
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,38.3,0.28,-0.31,20.97,6300,92.5,176.2,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533,8,,8594,0.394573316
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,22.1,0.09,-0.03,29.61,7600,86.4,225.3,6.96,0.9,92.15,2,16.56,6.17,0.084,0.4,0.516,6,,17160,0.382696456
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,0.03,-0.02,62.5,1900,61.1,16.3,6.83,0.18,92.99,2,34.53,8.97,0.387,0.203,0.41,135,,,0.381358815
Honduras ,LATIN AMER. & CARIB    ,7326496,112090,65.4,0.73,-1.99,29.32,2600,76.2,67.5,9.55,3.22,87.23,2,28.24,5.28,0.139,0.312,0.549,89,,,0.380897218
Georgia ,C.W. OF IND. STATES ,4661473,69700,66.9,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553,122,36,,0.378795938
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,28.2,0.31,-0.04,22.2,4800,93.4,140.1,2.95,0.92,96.13,2,18.71,4.92,0.04,0.419,0.541,75,,3255,0.378459164
Croatia ,EASTERN EUROPE                     ,4494749,56542,79.5,10.32,1.58,6.84,10600,98.5,420.4,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622,18,17,2860,0.355599163
Greece ,WESTERN EUROPE                     ,10688058,131940,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733,39,14,3147,0.348779104
Czech Republic ,EASTERN EUROPE                     ,10235455,78866,129.8,0,0.97,3.93,15700,99.9,314.3,39.8,3.05,57.15,3,9.02,10.59,0.034,0.393,0.573,79,,,0.345898602
Norway ,WESTERN EUROPE                     ,4610820,323802,14.2,7.77,1.74,3.7,37800,100,461.7,2.87,0,97.13,3,11.46,9.4,0.021,0.415,0.564,51,22,6674,0.338870442
Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,5.6,0,-3.35,29.21,6300,98.4,164.1,7.98,0.05,91.97,4,16,9.42,0.067,0.386,0.547,125,28,4137,0.334471349
Slovakia ,EASTERN EUROPE                     ,5439448,48845,111.4,0,0.3,7.41,13300,,220.1,30.16,2.62,67.22,3,10.65,9.45,0.035,0.294,0.672,26,31,1983,0.333580779
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,0,0,67.69,1900,90.7,26.8,8.32,0.34,91.34,2,28.01,21.84,0.179,0.243,0.579,131,,,0.333272236
China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403,5,,,0.329991731
Macedonia ,EASTERN EUROPE                     ,2050554,25333,80.9,0,-1.45,10.09,6700,,260,22.26,1.81,75.93,3,12.02,8.77,0.118,0.319,0.563,195,,1418,0.325740962
Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494,43,0.7,-1.22,29.11,2300,67.5,39.7,15.94,1.94,82.12,2,24.51,4.45,0.165,0.275,0.56,110,,,0.324232535
Spain ,WESTERN EUROPE                     ,40397842,504782,80,0.98,0.99,4.42,22000,97.9,453.5,26.07,9.87,64.06,3,10.06,9.72,0.04,0.295,0.665,3,1,27021,0.322861615
El Salvador ,LATIN AMER. & CARIB    ,6822378,21040,324.3,1.46,-3.74,25.1,4800,80.2,142.4,31.85,12.07,56.08,2,26.61,5.78,0.099,0.302,0.599,53,,,0.321262176
Netherlands ,WESTERN EUROPE                     ,16491461,41526,397.1,1.09,2.91,5.04,28600,99,460.8,26.71,0.97,72.32,3,10.9,8.68,0.021,0.244,0.736,15,10,18744,0.317518362
Morocco ,NORTHERN AFRICA                    ,33241259,446550,74.4,0.41,-0.98,41.62,4000,51.7,40.4,19.61,2.17,78.22,,21.98,5.58,0.217,0.357,0.426,81,,6195,0.313901645
Bulgaria ,EASTERN EUROPE                     ,7385367,110910,66.6,0.32,-4.58,20.55,7600,98.6,336.3,40.02,1.92,58.06,3,9.65,14.27,0.093,0.304,0.603,70,29,2119,0.309760421
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.7,0.13,0,191.19,1900,42,7.8,2.41,0.24,97.35,,45.11,24.2,0.096,0.658,0.246,109,,,0.306863877
United States ,NORTHERN AMERICA                   ,298444215,9631420,31,0.21,3.41,6.5,37800,97,898,19.13,0.22,80.65,3,14.14,8.26,0.01,0.204,0.787,27,,,0.30215893
