Year,Team,Wins,Loss,Home Wins,Home Loss,Away Wins,Away Loss,HomePCT,AwayPCT,TotalPCT
1968,Atlanta Hawks,48,34,28,12,18,21,0.7,0.461538462,0.585365854
1969,Atlanta Hawks,48,34,25,13,18,16,0.657894737,0.529411765,0.585365854
1970,Atlanta Hawks,36,46,21,20,14,26,0.512195122,0.35,0.43902439
1971,Atlanta Hawks,36,46,22,19,13,26,0.536585366,0.333333333,0.43902439
1972,Atlanta Hawks,46,36,28,13,17,23,0.682926829,0.425,0.56097561
1973,Atlanta Hawks,35,47,23,18,12,25,0.56097561,0.324324324,0.426829268
1974,Atlanta Hawks,31,51,22,19,9,32,0.536585366,0.219512195,0.37804878
1975,Atlanta Hawks,29,53,20,21,9,32,0.487804878,0.219512195,0.353658537
1976,Atlanta Hawks,31,51,19,22,12,29,0.463414634,0.292682927,0.37804878
1977,Atlanta Hawks,41,41,29,12,12,29,0.707317073,0.292682927,0.5
1978,Atlanta Hawks,46,36,34,7,12,29,0.829268293,0.292682927,0.56097561
1979,Atlanta Hawks,50,32,32,9,18,23,0.780487805,0.43902439,0.609756098
1980,Atlanta Hawks,31,51,20,21,11,30,0.487804878,0.268292683,0.37804878
1981,Atlanta Hawks,42,40,24,17,18,23,0.585365854,0.43902439,0.512195122
1982,Atlanta Hawks,43,39,26,15,17,24,0.634146341,0.414634146,0.524390244
1983,Atlanta Hawks,40,42,31,10,9,32,0.756097561,0.219512195,0.487804878
1984,Atlanta Hawks,34,48,19,22,15,26,0.463414634,0.365853659,0.414634146
1985,Atlanta Hawks,50,32,34,7,16,25,0.829268293,0.390243902,0.609756098
1986,Atlanta Hawks,57,25,35,6,22,19,0.853658537,0.536585366,0.695121951
1987,Atlanta Hawks,50,32,30,11,20,21,0.731707317,0.487804878,0.609756098
1988,Atlanta Hawks,52,30,33,8,19,22,0.804878049,0.463414634,0.634146341
1989,Atlanta Hawks,41,41,25,16,16,25,0.609756098,0.390243902,0.5
1990,Atlanta Hawks,43,39,29,12,14,27,0.707317073,0.341463415,0.524390244
1991,Atlanta Hawks,38,44,23,18,15,26,0.56097561,0.365853659,0.463414634
1992,Atlanta Hawks,43,39,25,16,18,23,0.609756098,0.43902439,0.524390244
1993,Atlanta Hawks,57,25,36,5,21,20,0.87804878,0.512195122,0.695121951
1994,Atlanta Hawks,42,40,24,17,18,23,0.585365854,0.43902439,0.512195122
1995,Atlanta Hawks,46,36,26,15,20,21,0.634146341,0.487804878,0.56097561
1996,Atlanta Hawks,56,26,36,5,20,21,0.87804878,0.487804878,0.682926829
1997,Atlanta Hawks,50,32,29,12,21,20,0.707317073,0.512195122,0.609756098
1998,Atlanta Hawks,31,19,16,9,15,10,0.64,0.6,0.62
1999,Atlanta Hawks,28,54,21,20,7,34,0.512195122,0.170731707,0.341463415
2000,Atlanta Hawks,25,57,18,23,7,34,0.43902439,0.170731707,0.304878049
2001,Atlanta Hawks,33,49,23,18,10,31,0.56097561,0.243902439,0.402439024
2002,Atlanta Hawks,35,47,26,15,9,32,0.634146341,0.219512195,0.426829268
2003,Atlanta Hawks,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
2004,Atlanta Hawks,13,69,9,32,4,37,0.219512195,0.097560976,0.158536585
2005,Atlanta Hawks,26,56,18,23,8,33,0.43902439,0.195121951,0.317073171
2006,Atlanta Hawks,30,52,18,23,12,29,0.43902439,0.292682927,0.365853659
2007,Atlanta Hawks,37,45,25,16,12,29,0.609756098,0.292682927,0.451219512
2008,Atlanta Hawks,47,35,31,10,16,25,0.756097561,0.390243902,0.573170732
2009,Atlanta Hawks,53,29,34,7,19,22,0.829268293,0.463414634,0.646341463
2010,Atlanta Hawks,44,38,24,17,20,21,0.585365854,0.487804878,0.536585366
1950,Baltimore Bullets,24,42,21,11,3,25,0.65625,0.107142857,0.363636364
1951,Baltimore Bullets,20,46,17,15,2,22,0.53125,0.083333333,0.303030303
1952,Baltimore Bullets,16,54,11,20,1,19,0.35483871,0.05,0.228571429
1953,Baltimore Bullets,16,56,12,20,0,20,0.375,0,0.222222222
1963,Baltimore Bullets,31,49,20,19,8,21,0.512820513,0.275862069,0.3875
1964,Baltimore Bullets,37,43,23,14,12,19,0.621621622,0.387096774,0.4625
1965,Baltimore Bullets,38,42,29,9,4,25,0.763157895,0.137931034,0.475
1966,Baltimore Bullets,20,61,12,20,3,30,0.375,0.090909091,0.24691358
1967,Baltimore Bullets,36,46,17,19,12,23,0.472222222,0.342857143,0.43902439
1968,Baltimore Bullets,57,25,29,9,24,15,0.763157895,0.615384615,0.695121951
1969,Baltimore Bullets,50,32,25,12,19,18,0.675675676,0.513513514,0.609756098
1970,Baltimore Bullets,42,40,24,13,16,25,0.648648649,0.390243902,0.512195122
1971,Baltimore Bullets,38,44,18,15,16,24,0.545454545,0.4,0.463414634
1972,Baltimore Bullets,52,30,24,9,21,17,0.727272727,0.552631579,0.634146341
1950,Boston Celtics,39,30,26,6,9,22,0.8125,0.290322581,0.565217391
1951,Boston Celtics,39,27,22,7,10,19,0.75862069,0.344827586,0.590909091
1952,Boston Celtics,46,25,21,3,11,18,0.875,0.379310345,0.647887324
1953,Boston Celtics,42,30,16,6,11,19,0.727272727,0.366666667,0.583333333
1954,Boston Celtics,36,36,20,5,5,22,0.8,0.185185185,0.5
1955,Boston Celtics,39,33,20,7,12,15,0.740740741,0.444444444,0.541666667
